map382
19
15
block,0,0,2
block,0,1,2
block,0,2,2
block,0,3,2
block,0,4,2
block,0,5,2
block,0,6,2
block,0,7,2
block,0,8,2
block,0,9,2
block,0,10,2
block,0,11,2
block,0,12,2
block,0,13,2
block,0,14,2
block,0,15,2
block,0,16,2
block,0,17,2
block,0,18,2
block,1,0,2
block,1,1,1
block,1,2,2
block,1,3,2
tile,1,4,0
tile,1,5,0
tile,1,6,0
block,1,7,1
block,1,8,1
tile,1,9,0
tile,1,10,0
tile,1,11,0
tile,1,12,0
block,1,13,3
tile,1,14,0
tile,1,15,0
tile,1,16,0
tile,1,17,0
block,1,18,2
block,2,0,2
tile,2,1,0
tile,2,2,0
block,2,3,1
block,2,4,1
tile,2,5,0
tile,2,6,0
tile,2,7,0
tile,2,8,0
tile,2,9,0
tile,2,10,0
block,2,11,2
block,2,12,1
block,2,13,2
block,2,14,2
block,2,15,1
tile,2,16,0
tile,2,17,0
block,2,18,2
block,3,0,2
tile,3,1,0
tile,3,2,0
block,3,3,3
tile,3,4,0
tile,3,5,0
tile,3,6,0
tile,3,7,0
tile,3,8,0
block,3,9,3
tile,3,10,0
tile,3,11,0
tile,3,12,0
block,3,13,2
block,3,14,2
block,3,15,1
tile,3,16,0
block,3,17,1
block,3,18,2
block,4,0,2
tile,4,1,0
tile,4,2,0
tile,4,3,0
tile,4,4,0
tile,4,5,0
tile,4,6,0
block,4,7,2
tile,4,8,0
tile,4,9,0
block,4,10,1
block,4,11,1
tile,4,12,0
tile,4,13,0
tile,4,14,0
tile,4,15,0
block,4,16,1
block,4,17,1
block,4,18,2
block,5,0,2
tile,5,1,0
tile,5,2,0
tile,5,3,0
tile,5,4,0
tile,5,5,0
tile,5,6,0
tile,5,7,0
tile,5,8,0
tile,5,9,0
block,5,10,1
block,5,11,1
tile,5,12,0
tile,5,13,0
tile,5,14,0
tile,5,15,0
block,5,16,1
block,5,17,1
block,5,18,2
block,6,0,2
block,6,1,2
tile,6,2,0
tile,6,3,0
tile,6,4,0
block,6,5,2
tile,6,6,0
tile,6,7,0
tile,6,8,0
tile,6,9,0
block,6,10,1
block,6,11,1
tile,6,12,0
tile,6,13,0
block,6,14,1
tile,6,15,0
block,6,16,1
block,6,17,1
block,6,18,2
block,7,0,2
tile,7,1,0
block,7,2,3
block,7,3,1
tile,7,4,0
tile,7,5,0
tile,7,6,0
tile,7,7,0
tile,7,8,0
tile,7,9,0
tile,7,10,0
block,7,11,2
block,7,12,2
tile,7,13,0
block,7,14,2
tile,7,15,0
tile,7,16,0
tile,7,17,0
block,7,18,2
block,8,0,2
tile,8,1,0
tile,8,2,0
tile,8,3,0
tile,8,4,0
block,8,5,3
tile,8,6,0
block,8,7,2
tile,8,8,0
tile,8,9,0
tile,8,10,0
block,8,11,2
block,8,12,2
tile,8,13,0
block,8,14,2
tile,8,15,0
tile,8,16,0
block,8,17,2
block,8,18,2
block,9,0,2
block,9,1,2
block,9,2,2
tile,9,3,0
tile,9,4,0
tile,9,5,0
tile,9,6,0
tile,9,7,0
tile,9,8,0
tile,9,9,0
block,9,10,3
tile,9,11,0
tile,9,12,0
block,9,13,1
tile,9,14,0
block,9,15,3
tile,9,16,0
block,9,17,1
block,9,18,2
block,10,0,2
block,10,1,2
block,10,2,2
tile,10,3,0
tile,10,4,0
block,10,5,3
block,10,6,1
tile,10,7,0
tile,10,8,0
tile,10,9,0
tile,10,10,0
tile,10,11,0
tile,10,12,0
tile,10,13,0
tile,10,14,0
tile,10,15,0
block,10,16,1
block,10,17,1
block,10,18,2
block,11,0,2
block,11,1,1
tile,11,2,0
tile,11,3,0
tile,11,4,0
tile,11,5,0
tile,11,6,0
tile,11,7,0
block,11,8,3
tile,11,9,0
tile,11,10,0
tile,11,11,0
tile,11,12,0
tile,11,13,0
tile,11,14,0
tile,11,15,0
block,11,16,1
block,11,17,1
block,11,18,2
block,12,0,2
block,12,1,1
tile,12,2,0
tile,12,3,0
block,12,4,1
tile,12,5,0
tile,12,6,0
tile,12,7,0
tile,12,8,0
tile,12,9,0
tile,12,10,0
tile,12,11,0
tile,12,12,0
tile,12,13,0
tile,12,14,0
tile,12,15,0
tile,12,16,0
tile,12,17,0
block,12,18,2
block,13,0,2
block,13,1,1
tile,13,2,0
tile,13,3,0
tile,13,4,0
block,13,5,3
block,13,6,3
tile,13,7,0
block,13,8,2
tile,13,9,0
tile,13,10,0
tile,13,11,0
tile,13,12,0
tile,13,13,0
tile,13,14,0
tile,13,15,0
tile,13,16,0
tile,13,17,0
block,13,18,2
block,14,0,2
block,14,1,2
block,14,2,2
block,14,3,2
block,14,4,2
block,14,5,2
block,14,6,2
block,14,7,2
block,14,8,2
block,14,9,2
block,14,10,2
block,14,11,2
block,14,12,2
block,14,13,2
block,14,14,2
block,14,15,2
block,14,16,2
block,14,17,2
block,14,18,2
map_done,
num_guards,3
guard,6,2
guard,10,13
guard,1,12
assassin,5,8
