map8
40
20
0,0,3
0,1,3
0,2,3
0,3,2
0,4,3
0,5,3
0,6,0
0,7,0
0,8,1
0,9,1
0,10,2
0,11,1
0,12,3
0,13,0
0,14,1
0,15,0
0,16,0
0,17,2
0,18,2
0,19,3
0,20,3
0,21,1
0,22,2
0,23,3
0,24,3
0,25,2
0,26,0
0,27,0
0,28,2
0,29,0
0,30,1
0,31,3
0,32,0
0,33,2
0,34,1
0,35,3
0,36,1
0,37,2
0,38,2
0,39,1
1,0,2
1,1,1
1,2,2
1,3,3
1,4,0
1,5,3
1,6,3
1,7,3
1,8,1
1,9,3
1,10,3
1,11,1
1,12,0
1,13,2
1,14,0
1,15,0
1,16,3
1,17,1
1,18,1
1,19,3
1,20,2
1,21,3
1,22,1
1,23,0
1,24,2
1,25,2
1,26,0
1,27,1
1,28,3
1,29,3
1,30,1
1,31,3
1,32,1
1,33,0
1,34,2
1,35,2
1,36,1
1,37,0
1,38,2
1,39,3
2,0,0
2,1,1
2,2,0
2,3,3
2,4,2
2,5,1
2,6,2
2,7,3
2,8,3
2,9,3
2,10,1
2,11,3
2,12,3
2,13,2
2,14,2
2,15,2
2,16,2
2,17,1
2,18,1
2,19,3
2,20,2
2,21,2
2,22,2
2,23,0
2,24,0
2,25,3
2,26,0
2,27,1
2,28,1
2,29,1
2,30,1
2,31,1
2,32,2
2,33,1
2,34,1
2,35,3
2,36,0
2,37,3
2,38,1
2,39,2
3,0,2
3,1,0
3,2,2
3,3,0
3,4,3
3,5,0
3,6,0
3,7,3
3,8,0
3,9,2
3,10,0
3,11,1
3,12,0
3,13,3
3,14,2
3,15,2
3,16,2
3,17,0
3,18,0
3,19,1
3,20,1
3,21,2
3,22,0
3,23,3
3,24,0
3,25,2
3,26,3
3,27,1
3,28,2
3,29,3
3,30,2
3,31,3
3,32,2
3,33,1
3,34,0
3,35,2
3,36,0
3,37,2
3,38,3
3,39,0
4,0,0
4,1,1
4,2,3
4,3,3
4,4,0
4,5,1
4,6,0
4,7,1
4,8,2
4,9,3
4,10,1
4,11,2
4,12,1
4,13,2
4,14,1
4,15,2
4,16,2
4,17,0
4,18,2
4,19,3
4,20,2
4,21,3
4,22,2
4,23,3
4,24,2
4,25,2
4,26,0
4,27,0
4,28,1
4,29,3
4,30,1
4,31,0
4,32,2
4,33,3
4,34,1
4,35,1
4,36,1
4,37,2
4,38,2
4,39,0
5,0,2
5,1,1
5,2,2
5,3,0
5,4,1
5,5,1
5,6,1
5,7,3
5,8,2
5,9,3
5,10,3
5,11,3
5,12,3
5,13,2
5,14,1
5,15,2
5,16,3
5,17,0
5,18,2
5,19,1
5,20,3
5,21,3
5,22,3
5,23,3
5,24,0
5,25,2
5,26,1
5,27,1
5,28,1
5,29,3
5,30,3
5,31,3
5,32,1
5,33,2
5,34,1
5,35,3
5,36,3
5,37,2
5,38,0
5,39,3
6,0,3
6,1,0
6,2,2
6,3,1
6,4,1
6,5,0
6,6,1
6,7,0
6,8,0
6,9,1
6,10,3
6,11,0
6,12,2
6,13,3
6,14,3
6,15,0
6,16,0
6,17,0
6,18,0
6,19,3
6,20,2
6,21,0
6,22,2
6,23,1
6,24,2
6,25,3
6,26,2
6,27,0
6,28,1
6,29,2
6,30,1
6,31,2
6,32,3
6,33,1
6,34,3
6,35,2
6,36,2
6,37,1
6,38,2
6,39,2
7,0,1
7,1,2
7,2,3
7,3,1
7,4,2
7,5,2
7,6,3
7,7,0
7,8,1
7,9,0
7,10,0
7,11,0
7,12,2
7,13,2
7,14,2
7,15,0
7,16,2
7,17,1
7,18,2
7,19,2
7,20,0
7,21,3
7,22,2
7,23,1
7,24,1
7,25,2
7,26,2
7,27,0
7,28,1
7,29,0
7,30,2
7,31,0
7,32,1
7,33,2
7,34,0
7,35,3
7,36,3
7,37,1
7,38,0
7,39,3
8,0,0
8,1,2
8,2,3
8,3,3
8,4,2
8,5,2
8,6,0
8,7,3
8,8,0
8,9,0
8,10,2
8,11,0
8,12,2
8,13,2
8,14,1
8,15,0
8,16,2
8,17,3
8,18,1
8,19,1
8,20,0
8,21,0
8,22,1
8,23,2
